hotel_id,hotel_name,address,city,state,star_rating,url,photo1,photo2,photo3,photo4,photo5,overview,number_of_reviews,rating_average,price
168,Melia Purosani Yogyakarta,Jalan Suryotomo No. 31,Yogyakarta,D.I. Yogyakarta,"5,00",https://www.agoda.com/partners/partnersearch.aspx?hid=168,http://pix3.agoda.net/hotelimages/168/0/0a8fcc23dff440936dee08f23f3fa98b.jpg?s=312x,http://pix5.agoda.net/hotelimages/168/168/168_17100414540057134032.jpg?s=312x,http://pix1.agoda.net/hotelimages/168/168/168_17111603340059418725.jpg?s=312x,http://pix5.agoda.net/hotelimages/168/168/168_17111603340059418741.jpg?s=312x,http://pix1.agoda.net/hotelimages/168/0/a224e5e3d9541a0363fc2e74dee1b8f4.jpg?s=312x,"Stop at Melia Purosani Hotel Yogyakarta to discover the wonders of Yogyakarta. The property features a wide range of facilities to make your stay a pleasant experience. 24-hour room service, free Wi-Fi in all rooms, facilities for disabled guests, Wi-Fi in public areas, car park are there for guest's enjoyment. Some of the well-appointed guestrooms feature free welcome drink, towels, separate living room, internet access – wireless, internet access – wireless (complimentary). The hotel offers various recreational opportunities. For reliable service and professional staff, Melia Purosani Hotel Yogyakarta caters to your needs.",745,"8,70",718081
268,The Oberoi Beach Resort,"Jl Kayu Aya,  Seminyak Beach",Bali,Bali,"5,00",https://www.agoda.com/partners/partnersearch.aspx?hid=268,http://pix1.agoda.net/hotelimages/7304337/0/b4a005edb66f25566392e2d0283f2ada.jpg?s=312x,http://pix4.agoda.net/hotelimages/268/268/268_15060412140028454886.jpg?s=312x,http://pix3.agoda.net/hotelimages/268/268/268_15060413020028460235.jpg?s=312x,http://pix5.agoda.net/hotelimages/268/268/268_15060413020028460236.jpg?s=312x,http://pix2.agoda.net/hotelimages/268/268/268_15060413020028460237.jpg?s=312x,"Set in a prime location of Bali, The Oberoi Bali puts everything the city has to offer just outside your doorstep. The hotel offers a high standard of service and amenities to suit the individual needs of all travelers. 24-hour room service, free Wi-Fi in all rooms, 24-hour security, car power charging station, convenience store are there for guest's enjoyment. All rooms are designed and decorated to make guests feel right at home, and some rooms come with television LCD/plasma screen, separate living room, private pool, internet access – wireless (complimentary), non smoking rooms. The hotel's peaceful atmosphere extends to its recreational facilities which include fitness center, outdoor pool, spa, massage, tennis courts. A welcoming atmosphere and excellent service are what you can expect during your stay at The Oberoi Bali.",522,"9,20",7434258
385,Mercure Kuta Bali,Kuta Beach Street 10 X Br Pande Mas,Bali,Bali,"3,50",https://www.agoda.com/partners/partnersearch.aspx?hid=385,http://pix2.agoda.net/hotelimages/385/385/385_17051613500053013484.jpg?s=312x,http://pix5.agoda.net/hotelimages/385/385/385_16010909450038989717.jpg?s=312x,http://pix1.agoda.net/hotelimages/385/385/385_15072316130032893688.jpg?s=312x,http://pix3.agoda.net/hotelimages/385/385/385_15072316130032893692.jpg?s=312x,http://pix2.agoda.net/hotelimages/385/385/385_15072316130032893710.jpg?s=312x,"Set in a prime location of Bali, Mercure Kuta Bali puts everything the city has to offer just outside your doorstep. The hotel offers a high standard of service and amenities to suit the individual needs of all travelers. Facilities like 24-hour room service, ticket service, gift/souvenir shop, 24-hour security, convenience store are readily available for you to enjoy. Designed for comfort, selected guestrooms offer television LCD/plasma screen, mirror, internet access – wireless, internet access – wireless (complimentary), non smoking rooms to ensure a restful night. To enhance guests' stay, the hotel offers recreational facilities such as water park, surfing lessons, outdoor pool, spa, pool (kids). Discover all Bali has to offer by making Mercure Kuta Bali your base.",2372,"7,80",619001
400,Verwood Hotel and Serviced Residence,Jalan Raya Kupang Indah,Surabaya,East Java,"4,00",https://www.agoda.com/partners/partnersearch.aspx?hid=400,http://pix3.agoda.net/hotelimages/400/-1/fa2d69a76bab365c0688a01f86191236.jpg?s=312x,http://pix3.agoda.net/hotelimages/400/400/400_17013015440050656887.jpg?s=312x,http://pix1.agoda.net/hotelimages/400/-1/f37bfa0d6754e9f876bf0f1c5914ee4b.jpg?s=312x,http://pix4.agoda.net/hotelimages/400/-1/0f701dea06e964a17290515db34c2b06.jpg?s=312x,http://pix4.agoda.net/hotelimages/400/-1/a6f6131533fdb6c55c3ca05d8c99fbe1.jpg?s=312x,"Set in a prime location of Surabaya, Verwood Hotel and Serviced Residence puts everything the city has to offer just outside your doorstep. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. 24-hour room service, free Wi-Fi in all rooms, taxi service, 24-hour security, daily housekeeping are there for guest's enjoyment. Guestrooms are fitted with all the amenities you need for a good night's sleep. In some of the rooms, guests can find television LCD/plasma screen, carpeting, clothes rack, linens, mirror. Entertain the hotel's recreational facilities, including hot tub, fitness center, sauna, golf course (within 3 km), outdoor pool. Friendly staff, great facilities and close proximity to all that Surabaya has to offer are three great reasons you should stay at Verwood Hotel and Serviced Residence.",2398,"8,00",369077
813,Gran Melia Jakarta,Jalan H.R. Rasuna Said Kav. X - O,Jakarta,DKI Jakarta,"5,00",https://www.agoda.com/partners/partnersearch.aspx?hid=813,http://pix3.agoda.net/hotelimages/5076972/0/7c876aee275ed4ada5e689ad398734a4.jpg?s=312x,http://pix5.agoda.net/hotelimages/813/-1/dbee9912c1392dc092443c1ee1d854ae.jpg?s=312x,http://pix1.agoda.net/hotelimages/813/813/813_13070921280013862273.jpg?s=312x,http://pix3.agoda.net/hotelimages/813/813/813_13070921280013862274.jpg?s=312x,http://pix3.agoda.net/hotelimages/813/813/813_13071117390013879944.jpg?s=312x,"Ideally located in the prime touristic area of Kuningan, Gran Melia Jakarta promises a relaxing and wonderful visit. The hotel offers a wide range of amenities and perks to ensure you have a great time. 24-hour room service, free Wi-Fi in all rooms, daily housekeeping, gift/souvenir shop, private check in/check out are there for guest's enjoyment. Designed for comfort, selected guestrooms offer television LCD/plasma screen, internet access – wireless (complimentary), non smoking rooms, air conditioning, wake-up service to ensure a restful night. The hotel's peaceful atmosphere extends to its recreational facilities which include hot tub, fitness center, sauna, outdoor pool, spa. For reliable service and professional staff, Gran Melia Jakarta caters to your needs.",1496,"8,40",1309184
950,Le Méridien Jakarta,"Jalan Jenderal Sudirman, Kav 18 - 20",Jakarta,DKI Jakarta,"4,50",https://www.agoda.com/partners/partnersearch.aspx?hid=950,http://pix3.agoda.net/hotelimages/950/-1/ee44db88eb333de24c2a76a1f4c3248b.jpg?s=312x,http://pix2.agoda.net/hotelimages/950/-1/182517fcb0f8fc17b85b755c1dc5b1f1.jpg?s=312x,http://pix2.agoda.net/hotelimages/950/950/950_19051607180074526130.jpg?s=312x,http://pix5.agoda.net/hotelimages/950/950/950_19051607180074526133.jpg?s=312x,http://pix5.agoda.net/hotelimages/950/950/950_19051607180074526136.jpg?s=312x,"Ideally located in the prime touristic area of Sudirman, Le Meridien Jakarta Hotel promises a relaxing and wonderful visit. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. Facilities like 24-hour room service, free Wi-Fi in all rooms, 24-hour security, daily housekeeping, taxi service are readily available for you to enjoy. Designed for comfort, selected guestrooms offer television LCD/plasma screen, additional toilet, mirror, towels, separate living room to ensure a restful night. Entertain the hotel's recreational facilities, including fitness center, sauna, outdoor pool, spa, massage. Friendly staff, great facilities and close proximity to all that Jakarta has to offer are three great reasons you should stay at Le Meridien Jakarta Hotel.",593,"8,20",1150000
995,Discovery Kartika Plaza Hotel,"Jl. Kartika Plaza, Po Box 1012",Bali,Bali,"5,00",https://www.agoda.com/partners/partnersearch.aspx?hid=995,http://pix4.agoda.net/hotelimages/995/-1/d493b25408c3ce31ea6780d607200e0c.jpg?s=312x,http://pix1.agoda.net/hotelimages/995/995/995_19102317290082396249.jpg?s=312x,http://pix4.agoda.net/hotelimages/995/995/995_15022014180025486583.jpg?s=312x,http://pix2.agoda.net/hotelimages/995/995/995_15022015160025488943.jpg?s=312x,http://pix3.agoda.net/hotelimages/995/995/995_15022015240025489381.jpg?s=312x,"Discovery Kartika Plaza Hotel is conveniently located in the popular Kuta area. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. 24-hour room service, free Wi-Fi in all rooms, 24-hour front desk, facilities for disabled guests, luggage storage are there for guest's enjoyment. Each guestroom is elegantly furnished and equipped with handy amenities. The hotel offers various recreational opportunities. Convenience and comfort makes Discovery Kartika Plaza Hotel the perfect choice for your stay in Bali.",2119,"8,50",650826
1139,Mercure Jakarta Kota Hotel,Jl. Hayam Wuruk 123,Jakarta,DKI Jakarta,"4,00",https://www.agoda.com/partners/partnersearch.aspx?hid=1139,http://pix5.agoda.net/hotelimages/4870971/0/daeb86a5d8c862d28af2c6d84fb111a4.jpg?s=312x,http://pix4.agoda.net/hotelimages/113/1139/1139_14050213330019283826.jpg?s=312x,http://pix2.agoda.net/hotelimages/113/1139/1139_16092522100046884101.jpg?s=312x,http://pix5.agoda.net/hotelimages/113/1139/1139_16092522100046884102.jpg?s=312x,http://pix3.agoda.net/hotelimages/113/1139/1139_16092522100046884105.jpg?s=312x,"Stop at Mercure Jakarta Kota Hotel to discover the wonders of Jakarta. The hotel offers a wide range of amenities and perks to ensure you have a great time. Take advantage of the hotel's 24-hour room service, free Wi-Fi in all rooms, facilities for disabled guests, luggage storage, Wi-Fi in public areas. Some of the well-appointed guestrooms feature television LCD/plasma screen, separate living room, internet access – wireless, internet access – wireless (complimentary), air conditioning. Entertain the hotel's recreational facilities, including fitness center, sauna, outdoor pool, spa, massage. For reliable service and professional staff, Mercure Jakarta Kota Hotel caters to your needs.",1522,"7,60",818188
1251,Prime Plaza Hotel Sanur - Bali,Jalan Hang Tuah 46,Bali,Bali,"4,00",https://www.agoda.com/partners/partnersearch.aspx?hid=1251,http://pix2.agoda.net/hotelimages/125/1251/1251_15112712350038075727.jpg?s=312x,http://pix3.agoda.net/hotelimages/125/1251/1251_15112713040038076391.jpg?s=312x,http://pix5.agoda.net/hotelimages/125/1251/1251_13091015450014943053.jpg?s=312x,http://pix4.agoda.net/hotelimages/125/1251/1251_13091016160014943587.jpg?s=312x,http://pix3.agoda.net/hotelimages/125/1251/1251_14022509020018446025.jpg?s=312x,"Stop at Sanur Paradise Plaza Hotel to discover the wonders of Bali. The hotel offers guests a range of services and amenities designed to provide comfort and convenience. Facilities like 24-hour room service, free Wi-Fi in all rooms, Wi-Fi in public areas, car park, room service are readily available for you to enjoy. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like television LCD/plasma screen, separate living room, internet access – wireless, internet access – wireless (complimentary), non smoking rooms. Take a break from a long day and make use of hot tub, fitness center, sauna, outdoor pool, spa. Convenience and comfort makes Sanur Paradise Plaza Hotel the perfect choice for your stay in Bali.",888,"7,90",620052
1418,Hotel Vila Lumbung,"Jalan Raya Petitenget, No. 1000 X Petitenget",Bali,Bali,"4,00",https://www.agoda.com/partners/partnersearch.aspx?hid=1418,http://pix1.agoda.net/hotelimages/141/1418/1418_14022615330018477108.jpg?s=312x,http://pix2.agoda.net/hotelimages/141/1418/1418_14081916100021326459.jpg?s=312x,http://pix1.agoda.net/hotelimages/141/1418/1418_17100313410057044092.jpg?s=312x,http://pix5.agoda.net/hotelimages/1418/-1/dc0cd00fbe36f96bdc6df9554d156f89.jpg?s=312x,http://pix2.agoda.net/hotelimages/1418/-1/776cd2ad37565e98dc0b43fa9c21144d.jpg?s=312x,"Hotel Vila Lumbung is a popular choice amongst travelers in Bali, whether exploring or just passing through. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. All the necessary facilities, including free Wi-Fi in all rooms, 24-hour security, daily housekeeping, taxi service, 24-hour front desk, are at hand. Television LCD/plasma screen, separate living room, internet access – wireless, internet access – wireless (complimentary), non smoking rooms can be found in selected guestrooms. Access to the hotel's hot tub, fitness center, outdoor pool, spa, massage will further enhance your satisfying stay. A welcoming atmosphere and excellent service are what you can expect during your stay at Hotel Vila Lumbung.",961,"8,10",397727
